Total lines processed: 20332093
Successfully parsed: 20332093
Total parse errors: 0
Elapsed time: 82.6304 seconds

Trip_date	Total_trips	Avg_passengers	Avg_distance	Avg_fare	Total_tip
2024-01-01	81013	1.349647587424241	4.396813968128567	21.788021058349685	264284.639999997627456
2024-01-02	75519	1.379983845125068	4.119030575087087	20.967073451714352	265859.379999998142011
2024-01-03	82427	1.348720686182926	3.878400402780663	19.664022589685420	277524.599999999743886
2024-01-04	102901	1.321687835881090	3.310968989611383	18.421313495495923	339759.099999997415580
2024-01-05	103178	1.330816646959623	3.753546298629558	17.832454689953103	333356.719999996188562
2024-01-06	97117	1.379552498532698	3.125827301090458	17.310473449550948	295446.199999994423706
2024-01-07	67543	1.371674340790311	3.883886561153651	19.452978546999734	236380.090000002615852
2024-01-08	80034	1.261538845990454	3.511306444760930	18.698506009945959	273058.899999997694977
2024-01-09	93962	1.172952895851515	3.832470253932452	16.898261531257848	286757.159999995667022
2024-01-10	95000	1.229873684210526	3.350864315789477	17.920641684210516	323644.979999995674007
2024-01-11	105010	1.247052661651271	3.588435482335025	18.556641938863134	370943.909999995783437
2024-01-12	103655	1.296647532680527	4.230263663113223	18.548339973952356	360971.759999995760154
2024-01-13	104758	1.377889994081598	3.770207239542590	17.276198858321450	337550.179999994928949
2024-01-14	94420	1.357138318152934	3.312599978818009	17.870277165854926	308173.539999996661209
2024-01-15	77033	1.312839951709008	3.731491698363082	19.298005789726794	279363.869999998772983
2024-01-16	93057	1.200436291735173	3.715439354374186	19.172022523829742	332362.839999994146638
2024-01-17	110365	1.189543786526526	3.833465138404389	18.203946359806654	369867.429999984451570
2024-01-18	110358	1.207017162326247	3.011911415574723	17.895973558781673	370351.389999992563389
2024-01-19	95951	1.279569780408750	3.011430000729527	17.221129951746459	311721.259999997681007
2024-01-20	108768	1.312656295969403	3.536544847749302	16.534302092527572	318073.760000001813751
2024-01-21	84502	1.298513644647464	4.815981988591954	18.430728385127384	282291.990000000980217
2024-01-22	85650	1.220502043199066	3.397427203736136	18.535876474022103	295781.629999996977858
2024-01-23	99891	1.209198025848174	2.973018790481595	17.677200548598030	335802.679999992600642
2024-01-24	105120	1.217760654490107	3.512214136225257	17.716179509132449	360508.689999992144294
2024-01-25	110318	1.206657118511938	3.979150909189779	18.263443046465984	383378.979999992647208
2024-01-26	105804	1.272617292351896	3.380927280632141	17.815411326603940	354378.409999998752028
2024-01-27	110515	1.357860923856490	2.824939058046417	16.816794824232236	342094.050000001385342
2024-01-28	92837	1.276247616790719	3.330247099755463	18.069742344109095	297860.550000000861473
2024-01-29	84547	1.227790459744284	3.395895300838568	18.543849338237930	296439.159999995550606
2024-01-30	101233	1.213833433761718	6.026665909337829	17.334327640196626	339472.649999993969686
2024-01-31	102131	1.206920523641206	3.155405214871105	17.526060941340234	346143.629999999830034
